hs10,hs6,품목명,상위설명,영문품목명
0105140000,010514,거위,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 중량이 185그램 이하인 것,Geese
0105150000,010515,기니아새,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 중량이 185그램 이하인 것,Guinea fowls
0105941000,010594,번식용,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 기타 > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다],Pure-bred breeding animals
0105949000,010594,기타,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 기타 > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다],Other
0105991010,010599,번식용,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 기타 > 기타 > 오리,Pure-bred breeding animals
0105991090,010599,기타,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 기타 > 기타 > 오리,Other
0105992000,010599,칠면조,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 기타 > 기타,Turkeys
0105999000,010599,기타,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 기타 > 기타,Other
0106110000,010611,영장류,그 밖의 살아 있는 동물 > 포유동물,Primates
0106121000,010612,"고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)","그 밖의 살아 있는 동물 > 포유동물 > 고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물), 물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)","Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)"
0106122000,010612,"물개, 바다사자와 바다코끼리(기각아목의 포유동물)","그 밖의 살아 있는 동물 > 포유동물 > 고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물), 물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)","Seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
0106130000,010613,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],그 밖의 살아 있는 동물 > 포유동물,Camels and other camelids (Camelidae)
0106141000,010614,번식용,그 밖의 살아 있는 동물 > 포유동물 > 토끼,Pure-bred breeding animals
0106149000,010614,기타,그 밖의 살아 있는 동물 > 포유동물 > 토끼,Other
0106191000,010619,개,그 밖의 살아 있는 동물 > 포유동물 > 기타,Dogs
0106193000,010619,사슴,그 밖의 살아 있는 동물 > 포유동물 > 기타,Deer
0106194000,010619,곰,그 밖의 살아 있는 동물 > 포유동물 > 기타,Bears
0106195010,010619,번식용,그 밖의 살아 있는 동물 > 포유동물 > 기타 > 여우,Pure-bred breeding animals
0106195090,010619,기타,그 밖의 살아 있는 동물 > 포유동물 > 기타 > 여우,Other
0106196010,010619,번식용,그 밖의 살아 있는 동물 > 포유동물 > 기타 > 밍크,Pure-bred breeding animals
0106196090,010619,기타,그 밖의 살아 있는 동물 > 포유동물 > 기타 > 밍크,Other
0106199000,010619,기타,그 밖의 살아 있는 동물 > 포유동물 > 기타,Other
0106201000,010620,뱀,그 밖의 살아 있는 동물 > 파충류(뱀과 거북을 포함한다),Snakes
0106202000,010620,자라,그 밖의 살아 있는 동물 > 파충류(뱀과 거북을 포함한다),Fresh-water tortoises
0106203000,010620,거북,그 밖의 살아 있는 동물 > 파충류(뱀과 거북을 포함한다),Turtles
0106209000,010620,기타,그 밖의 살아 있는 동물 > 파충류(뱀과 거북을 포함한다),Other
0106310000,010631,맹금류,그 밖의 살아 있는 동물 > 조류,Birds of prey
0106320000,010632,앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다],그 밖의 살아 있는 동물 > 조류,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
0106330000,010633,타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)],그 밖의 살아 있는 동물 > 조류,Ostriches; emus (Dromaius novaehollandiae)
0106390000,010639,기타,그 밖의 살아 있는 동물 > 조류,Other
0106410000,010641,벌,그 밖의 살아 있는 동물 > 곤충류,Bees
0106490000,010649,기타,그 밖의 살아 있는 동물 > 곤충류,Other
0106901000,010690,양서류,그 밖의 살아 있는 동물 > 기타,Amphibia
0106903010,010690,갯지렁이,그 밖의 살아 있는 동물 > 기타 > 환형동물류,Lug worms
0106903020,010690,실지렁이,그 밖의 살아 있는 동물 > 기타 > 환형동물류,Sludge worms
0106903090,010690,기타,그 밖의 살아 있는 동물 > 기타 > 환형동물류,Other
0106909000,010690,기타,그 밖의 살아 있는 동물 > 기타,Other
0201100000,020110,도체(屠體)와 이분도체(二分屠體),쇠고기(신선한 것이나 냉장한 것으로 한정한다),Carcasses and half-carcasses
0201201000,020120,갈비,쇠고기(신선한 것이나 냉장한 것으로 한정한다) > 그 밖의 것으로서 뼈째로 절단한 것,Short ribs
0201209000,020120,기타,쇠고기(신선한 것이나 냉장한 것으로 한정한다) > 그 밖의 것으로서 뼈째로 절단한 것,Other
0201300000,020130,뼈 없는 것,쇠고기(신선한 것이나 냉장한 것으로 한정한다),Boneless
0202100000,020210,도체(屠體)와 이분도체(二分屠體),쇠고기(냉동한 것으로 한정한다),Carcasses and half-carcasses
0202201000,020220,갈비,쇠고기(냉동한 것으로 한정한다) > 그 밖의 것으로서 뼈째로 절단한 것,Short ribs
0202209000,020220,기타,쇠고기(냉동한 것으로 한정한다) > 그 밖의 것으로서 뼈째로 절단한 것,Other
0202300000,020230,뼈 없는 것,쇠고기(냉동한 것으로 한정한다),Boneless
0203110000,020311,도체(屠體)와 이분도체(二分屠體),"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 신선한 것이거나 냉장한 것",Carcasses and half-carcasses
0203120000,020312,넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 신선한 것이거나 냉장한 것","Hams, shoulders and cuts thereof, with bone in"
0203191000,020319,삼겹살,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 신선한 것이거나 냉장한 것 > 기타",Streaky pork
0203199000,020319,기타,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 신선한 것이거나 냉장한 것 > 기타",Other
0203210000,020321,도체(屠體)와 이분도체(二分屠體),"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 냉동한 것",Carcasses and half-carcasses
0203220000,020322,넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 냉동한 것","Hams, shoulders and cuts thereof, with bone in"
0203291000,020329,삼겹살,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 냉동한 것 > 기타",Streaky pork
0203299000,020329,기타,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 냉동한 것 > 기타",Other
0204100000,020410,어린 면양의 도체(屠體)와 이분도체(二分屠體)(신선한 것이나 냉장한 것으로 한정한다),"면양과 염소의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","Carcasses and half-carcasses of lamb, fresh or chilled"
0204210000,020421,도체(屠體)와 이분도체(二分屠體),"면양과 염소의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 그 밖의 면양의 고기(신선한 것이나 냉장한 것으로 한정한다)",Carcasses and half-carcasses
0204220000,020422,그 밖의 것으로서 뼈째로 절단한 것,"면양과 염소의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 그 밖의 면양의 고기(신선한 것이나 냉장한 것으로 한정한다)",Other cuts with bone in
0204230000,020423,뼈 없는 것,"면양과 염소의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 그 밖의 면양의 고기(신선한 것이나 냉장한 것으로 한정한다)",Boneless
0204300000,020430,어린 면양의 도체(屠體)와 이분도체(二分屠體)(냉동한 것으로 한정한다),"면양과 염소의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","Carcasses and half-carcasses of lamb, frozen"
0204410000,020441,도체(屠體)와 이분도체(二分屠體),"면양과 염소의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 그 밖의 면양의 고기(냉동한 것으로 한정한다)",Carcasses and half-carcasses
0204420000,020442,그 밖의 것으로서 뼈째로 절단한 것,"면양과 염소의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 그 밖의 면양의 고기(냉동한 것으로 한정한다)",Other cuts with bone in
0204430000,020443,뼈 없는 것,"면양과 염소의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 그 밖의 면양의 고기(냉동한 것으로 한정한다)",Boneless
0204500000,020450,염소의 고기,"면양과 염소의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",Meat of goats
0205000000,020500,"말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
0206100000,020610,소의 것(신선한 것이나 냉장한 것으로 한정한다),"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","Of bovine animals, fresh or chilled"
0206210000,020621,혀,"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 소의 것(냉동한 것으로 한정한다)",Tongues
0206220000,020622,간,"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 소의 것(냉동한 것으로 한정한다)",Livers
0206291000,020629,꼬리,"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 소의 것(냉동한 것으로 한정한다) > 기타",Tails
0206292000,020629,족,"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 소의 것(냉동한 것으로 한정한다) > 기타",Feet
0206299000,020629,기타,"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 소의 것(냉동한 것으로 한정한다) > 기타",Other
0206300000,020630,돼지의 것(신선한 것이나 냉장한 것으로 한정한다),"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","Of swine, fresh or chilled"
0206410000,020641,간,"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 돼지의 것(냉동한 것으로 한정한다)",Livers
0206491000,020649,족,"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 돼지의 것(냉동한 것으로 한정한다) > 기타",Feet
0206499000,020649,기타,"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 돼지의 것(냉동한 것으로 한정한다) > 기타",Other
0206800000,020680,기타(신선한 것이나 냉장한 것으로 한정한다),"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","Other, fresh or chilled"
0206900000,020690,기타(냉동한 것으로 한정한다),"소ㆍ돼지ㆍ면양ㆍ염소ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","Other, frozen"
0207110000,020711,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것","Not cut in pieces, fresh or chilled"
0207120000,020712,절단하지 않은 육(냉동한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것","Not cut in pieces, frozen"
0207131000,020713,절단육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것 > 절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다)",Cuts
0207132010,020713,간,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것 > 절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다) > 설육(屑肉)",Liver
0207132090,020713,기타,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것 > 절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다) > 설육(屑肉)",Other
0207141010,020714,다리,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것 > 절단육과 설육(屑肉)(냉동한 것으로 한정한다) > 절단육",Leg
0207141020,020714,가슴,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것 > 절단육과 설육(屑肉)(냉동한 것으로 한정한다) > 절단육",Breast
0207141030,020714,날개,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것 > 절단육과 설육(屑肉)(냉동한 것으로 한정한다) > 절단육",Wing
0207141090,020714,기타,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것 > 절단육과 설육(屑肉)(냉동한 것으로 한정한다) > 절단육",Other
0207142010,020714,간,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것 > 절단육과 설육(屑肉)(냉동한 것으로 한정한다) > 설육(屑肉)",Liver
0207142090,020714,기타,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것 > 절단육과 설육(屑肉)(냉동한 것으로 한정한다) > 설육(屑肉)",Other
0207240000,020724,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 칠면조의 것","Not cut in pieces, fresh or chilled"
0207250000,020725,절단하지 않은 육(냉동한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 칠면조의 것","Not cut in pieces, frozen"
0207261000,020726,절단육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 칠면조의 것 > 절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다)",Cuts
0207262010,020726,간,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 칠면조의 것 > 절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다) > 설육(屑肉)",Liver
0207262090,020726,기타,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 칠면조의 것 > 절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다) > 설육(屑肉)",Other
0207271000,020727,절단육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 칠면조의 것 > 절단육과 설육(屑肉)(냉동한 것으로 한정한다)",Cuts
0207272010,020727,간,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 칠면조의 것 > 절단육과 설육(屑肉)(냉동한 것으로 한정한다) > 설육(屑肉)",Liver
0207272090,020727,기타,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 칠면조의 것 > 절단육과 설육(屑肉)(냉동한 것으로 한정한다) > 설육(屑肉)",Other
0207410000,020741,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 오리의 것","Not cut in pieces, fresh or chilled"
0207420000,020742,절단하지 않은 육(냉동한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 오리의 것","Not cut in pieces, frozen"
0207430000,020743,지방간(신선한 것이나 냉장한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 오리의 것","Fatty livers, fresh or chilled"
0207441000,020744,절단육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 오리의 것 > 기타(신선한 것이나 냉장한 것으로 한정한다)",Cuts
0207442010,020744,간,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 오리의 것 > 기타(신선한 것이나 냉장한 것으로 한정한다) > 설육(屑肉)",Liver
0207442090,020744,기타,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 오리의 것 > 기타(신선한 것이나 냉장한 것으로 한정한다) > 설육(屑肉)",Other
0207451000,020745,절단육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 오리의 것 > 기타(냉동한 것으로 한정한다)",Cuts
0207452010,020745,간,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 오리의 것 > 기타(냉동한 것으로 한정한다) > 설육(屑肉)",Liver
0207452090,020745,기타,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 오리의 것 > 기타(냉동한 것으로 한정한다) > 설육(屑肉)",Other
0207510000,020751,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 거위의 것","Not cut in pieces, fresh or chilled"
0207520000,020752,절단하지 않은 육(냉동한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 거위의 것","Not cut in pieces, frozen"
0207530000,020753,지방간(신선한 것이나 냉장한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 거위의 것","Fatty livers, fresh or chilled"
0207541000,020754,절단육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 거위의 것 > 기타(신선한 것이나 냉장한 것으로 한정한다)",Cuts
0207542010,020754,간,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 거위의 것 > 기타(신선한 것이나 냉장한 것으로 한정한다) > 설육(屑肉)",Liver
0207542090,020754,기타,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 거위의 것 > 기타(신선한 것이나 냉장한 것으로 한정한다) > 설육(屑肉)",Other
0207551000,020755,절단육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 거위의 것 > 기타(냉동한 것으로 한정한다)",Cuts
0207552010,020755,간,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 거위의 것 > 기타(냉동한 것으로 한정한다) > 설육(屑肉)",Liver
0207552090,020755,기타,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 거위의 것 > 기타(냉동한 것으로 한정한다) > 설육(屑肉)",Other
0207601000,020760,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 기니아새의 것","Not cut in pieces, fresh or chilled"
0207602000,020760,절단하지 않은 육(냉동한 것으로 한정한다),"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 기니아새의 것","Not cut in pieces, frozen"
0207603100,020760,절단육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 기니아새의 것 > 기타(신선한 것이나 냉장한 것으로 한정한다)",Cuts
0207603210,020760,간,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다) > 기니아새의 것 > 기타(신선한 것이나 냉장한 것으로 한정한다) > 설육(屑肉)",Liver
