rrdc_no,계열,참조번호,시행일자,결정세번_정규화,품명,물품설명,결정사유
0072022002430,품목분류사례,품목분류2과-19971,2022-09-13,3304991000,PHYSIOGEL SKIN STABILITY PRO INTENSIVE CREAM MD,"ㅇ 물품개요 - 올리브오일, 글리세린, 펜틸렌글라이콜, 팜오일, 식물성 오일, 하이드로제네이티드레시틴, 스쿠알란, 판테놀, 베타인, 정제수 등으로 혼합·조제된 백색 크림상을 플라스틱 튜브용기에 담아 종이상자에 소매포장한 것(내용량 : 100ml) - 용도 : 건성 및 문제성 피부를 위한 보습 강화 크림 - 사용목적 : 건조한 피부 등 피부장벽이 손상된 부위에 피부의 보호를 위해 사용하는 창상피복재 - 주의사항 : 비멸균 제품이므로 화상으로 인한 상처에는 사용하지 않는다. 비멸균 제품으로 감염 가능성이 있는 상처에는 사용하지 않는다. ㅇ 구성성분의 기능별 분류 - 전체 성분이 화장품성분사전에 등재되어 있음 * 용제 : 정제수, 펜틸렌글라이콜, * 보습제 : 글리세린, 판테놀, 베타인, 아세타마이드엠이에이 * 피부컨디셔닝제 : 사코신, 나이아신아마이드 * 수분차단제 : 올리브오일, 팜오일, 식물성오일, 스쿠알란 * 피막형성제 : 하이드록시에틸셀룰로오스 * 증점제 : 팔미타마이드엠이에이, 카보머, 소듐카보머, 잔탐검, * 유화제 : 하이드로제네이티드레시틴 ※ 화장품성분사전 : 한국화장품협회에서 화장품법 제12조에 의하여 화장품성분명 표준화를 위해 발간","ㅇ 관세율표 제3304호 에는 “미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류”를 분류하며, 제3304.99-1000호에 “기초화장용 제품류”를 세분류하고 있음 - 같은 호 해설서에 “그 밖의 미용이나 메이크업용 제품류와 기초화장품 제품류”에 “미용크림ㆍ콜드크림ㆍ메이크업크림ㆍ클린싱크림(cleansing cream)ㆍ스킨푸드(skin food)(벌꿀로열젤리를 함유한 것도 포함한다)와 스킨토닉(skin tonic)이나 보디로션 ; 소매용 포장에 넣은 피부보호용 석유 젤리 ; 피부자극을 보호하는 배리어크림(barrier cream) 등”을 예시하고 있음 ㅇ 또한 관세율표 제30류 주 제1호 마목에서 “ 제3303호 부터 제3307호 까지의 조제품(치료용이나 예방용을 포함한다)”을 제30류에서 제외한다고 규정하며, 제33류 총설에서 “ 제3303호 부터 제3307호 까지의 물품은 보조적인 의약성분이나 소독제 성분을 가지고 있는지에 상관없이 이들 호에 분류하며, 또한 이들이 보조적인 치료나 예방의 가치를 가지고 있다 할지라도 이들 호에 분류한다”라고 설명하고 있음 ㅇ 본 물품은 일반적인 기초화장용 제품류에 사용하는 보습제, 피부컨디셔닝제, 수분차단제, 용제, 증점제, 유화제, 피막형성제로 조제된 것으로 보습과 수분유지를 위해 일부 성분의 함량을 높여 건성이나 문제성 피부에 더 적합하도록 만든 것으로 기초화장용 제품에 보습력을 강화하여 보조적으로 치료나 예방의 가치를 가지도록 하는 물품임 - 참고로 제3005호 의 “액체 상태 피복재”는 “투명한 보호 피막으로 상처를 덮는 데에 사용한다”라고 설명하고 있으나, 본 품은 건성이나 문제성 피부의 보습 강화 크림으로서 상처를 덮는 피복재로 볼 수 없음 ㅇ 따라서 본 물품은 보습력을 강화한 기초화장용 제품이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제3304.99-1000호에 분류함"
0072023002739,품목분류사례,품목분류4과-14623,2023-07-31,3907291000,Polyoxyethylene (polyethylene glycol); KOREOX 60W320,"- (개요)에틸렌 옥사이드(Ethylene Oxide, EO), 프로필렌 옥사이드(Propylene oxide, PO) 공중합체의 무색투명한 점조액상[단량체 중량비: 에틸렌 옥사이드 60%, 프로필렌 옥사이드 40%, 중합도 5 이상, 20℃에서 0.5% 수용액의 표면장력이 45dyne/cm 초과] (용도) 윤활기유","o 관세율표 제3907호 에는 “폴리아세탈수지ㆍ그 밖의 폴리에테르와 에폭시수지, 폴리카보네이트ㆍ알키드수지ㆍ폴리아릴에스테르와 그 밖의 폴리에스테르[일차제품(primary form)으로 한정한다]”가 분류되며, 소호 제3907.2호에는 ""그 밖의 폴리에테르""’를 세분류하고 있음 - 같은 호 해설서에서 “(2)그 밖의 폴리에테르 : 에폭시ㆍ글리콜 기타 이와 유사한 물질로부터 얻어지는 중합체로서 중합체사슬에 에테르 관능기가 존재하는 것이 특성이다. 이들은 에테르 관능기가 중합체사슬상의 치환체로 되어 있는 제3905호 의 폴리비닐에테르와 혼동하여서는 안된다. 이 그룹 중 가장 중요한 것은 폴리(옥시에틸렌)(폴리에틸렌 글리콜)ㆍ폴리옥시프로필렌 및 폴리페닐렌 옥사이드(PPO)[보다 정확한 명은 폴리(디메틸페닐렌옥사이드)]로서 폴리페닐렌 옥사이드는 폴리아세탈과 같이 공업용 플라스틱으로, 폴리옥시프로필렌은 폴리우레탄 폼의 중간체로 사용되는 등의 다양한 용도를 가지고 있다""라고 설명하고 있음 o 또한, 관세율표 제39류 주 제6호 가목에는 "" 제3901호 부터 제3914호 까지에서 일차제품(primary form)은 액체나 페이스트(paste)[분산물(에멀션ㆍ서스펜션)과 용액을 포함한다]에만 적용한다“라고 규정하고 있음 o 따라서, 본 품은 에틸렌 옥사이드와 프로필렌 옥사이드의 공중합체로서 최대중량의 공단량체가 에틸렌 옥사이드이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제3907.29-1000호에 분류함"
0072024002859,품목분류사례,품목분류3과-4407,2024-08-23,3926901000,SPRING ; 151AA0012A,"- 제어반(PCB)에 장착하는 TACT 스위치의 내부 구성요소로, 압력에 의해 접점된 Contact를 탄성의 성질을 이용하여 위치를 원복시킴 - 재질 : Silicone Rubber - 규격 : 3.51 × 3.29㎜ (조작판넬 내부에 장착)","ㅇ 관세율표 제16부 주2 사목에서 “제15부의 주 제2호의 비금속으로 만든 범용성 부분품(제15부)이나 이와 유사한 플라스틱으로 만든 물품(39류)”은 제외하라고 규정함 ㅇ 관세율표 제3926호 에는 ‘플라스틱으로 만든 그 밖의 제품과 제3901호 부터 제3914호 까지의 그 밖의 재료로 만든 제품’이 분류되고, - 같은 호 해설서에서 “이 호에는 따로 분류하지 않은 플라스틱 제품(이 류의 주 제1호에서 규정한 바와 같은)이나 제3901호 부터 제3914호 까지 의 그 밖의 재료로 만든 제품을 분류한다.”고 설명함 ㅇ 본 물품은 스위치 작동 시에 탄성에 의해 접점을 원복시키는 ‘플라스틱으로 만든 기계용의 부분품’이므로, 관세율표 해석에 관한 통칙 제1호와 제6호에 따라 제3926.90-1000호에 분류함"
0072023003758,품목분류사례,품목분류4과-16203,2023-10-18,4016991090,"Other article of vulcanised rubber; MOUNTING DAMPER, RUBBER; SG2 EV;","- 전기자동차의 압축기(Compressor)에 장착하여 압축기에서 차량 측으로 전달되는 진동을 저감하고 억제해주는 역할을 하는 물품 - (재질) 부틸고무 65~75%, 카본블랙 20~25%",- 관세율표 제16부 주 제1호 가목에서 “기계류나 전기기기에 사용되거나 그 밖의 공업용으로 사용되는 경질고무 외의 가황한 고무의 그 밖의 제품( 제4016호 )”을 이 부에서 제외하도록 규정하고 있음 - 관세율표 제4016호 에는 “가황한 고무의 그 밖의 제품[경질(硬質)고무로 만든 것은 제외한다]”이 분류되고 ․같은 호 해설서에서 “이 호에는 이 류의 앞 호까지나 다른 류에 분류하지 않은 가황한 모든 고무제품[경질(硬質 : hard) 고무의 것을 제외한다]을 분류한다.”라고 설명하면서 이 호에 포함되는 물품으로 “(10) 자동차용의 섀시 마운팅 고무(chassis mounting rubber)” 등을 예시하고 있음 - 따라서 본 물품은 전기자동차의 압축기(Compressor)에 장착하여 압축기에서 차량 측으로 전달되는 진동을 저감하고 억제해주는 역할을 하는 물품으로 기계용의 가황한 고무의 그 밖의 제품으로 보아 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제4016.99-1090호에 분류함
0072023003230,품목분류사례,품목분류4과-15434,2023-09-07,5407612000,"Other woven fabrics of non-textured polyester filaments, dyed; SLUB FABRIC; WIDTH 83.5 LENGTH 100YD WEIGHT 64G DENSITY 30D*160D/96*68",- 비(非)텍스처드 폴리에스테르 필라멘트사(100%)를 직조하고 염색한 미황색계 직물 - 규격 : WIDTH 83.5 LENGTH 100YD WEIGHT 64G DENSITY 30D*160D/96*68 - 용도 : 의류 제조용,"ㅇ 관세율표 제5407호 에 “합성필라멘트사의 직물( 제5404호 재료로 직조한 직물을 포함한다)”이 분류되며 소호 제5407.61호 에 “그 밖의 직물(폴리에스테르 필라멘트의 함유량이 전 중량의 100분의 85 이상인 것으로 한정한다)로서 비(非)텍스처드 폴리에스테르 필라멘트의 함유량이 전 중량의 100분의 85 이상인 것”을 세분류하고 있음 - 같은 호 HS해설서에 “이 호에는 합성 필라멘트사(synthetic filament yarn)나 제5404호 의 모노필라멘트(monofilament)나 스트립(strip)으로 제직한 직물(제11부의 총설(Ⅰ)(C)의 규정과 같이)을 분류하며 ; 드레스용 직물ㆍ옷 안감ㆍ커튼재료ㆍ실내장식용 직물ㆍ텐트용 직물ㆍ낙하산용 직물 등의 대단히 광범위한 여러 가지의 직물을 포함한다.”라고 설명하고 있음 ㅇ 관세율표 제11부 소호주 주 제1호바목에 “염색한 직물로서 ‘원단 상태에서 처리된 것으로서 백색 외의 단일 색상으로 균일하게 염색하거나 백색 외의 색으로 착색가공한 것(문맥상 달리 해석되지 않는 경우로 한정한다)’를 포함한다.”고 규정하고 있음 ㅇ 따라서, 본 물품은 비(非)텍스처드 폴리에스테르 필라멘트사로 직조하고 염색한 직물이므로 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제5407.61-2000호에 분류함"
0072026002134,품목분류사례,품목분류3과-2885,2026-05-14,6907229000,CERAMIC TILE; N1530-4; SIZE:150*300MM; CN;,"- 성형 및 소성 과정을 거치고 표면에 유약 처리한 사각형의 도자제 타일 - (용도) 욕실 및 주방 벽면 타일, (재질) Ceramic - 수분흡수율 시험 (ISO 10545-3*, 진공법)에 의하여 100분의 3 초과 100분의 10 이하] * 일정 조건에서 건조된 시편을 물에 침수시킨 후, 침수 전후의 무게 차이를 측정하여 재료가 빨아들인 물의 양을 백분율(%)로 산출하는 방식","- HS해설서 제69류 총설 제1절에서 “이 류의 물품은 그 구성과 소성과정에 따라 다음의 물품이 제조된다.” 가 설명되고 “Ⅰ. 제1절( 제6901호 부터 제6903호 )의 규조토나 이와 유사한 규산질의 흙으로 만든 제품과 내화제품” 과 “Ⅱ. 제11절( 제6904호 부터 제6914호 )의 그 밖의 도자제품(주로 보통의 도기․석기․토기․자기ㆍ도자기 등으로 구성한 것)”으로 나뉘어진다 “로 설명하고 있음 - 본 물품은 광물성 재료로 만든 타일로, 규산의 함유량은 확인되나 규조토와 이와 유사한 규산질의 흙으로 만든 제품에 해당하지 않으므로 제6901호 에 분류할 수 없고, 도자제의 벽용 타일이므로 제6907호 에 해당함 - 관세율표 제6907호 에는 “도자제의 판석과 포장(鋪裝)용ㆍ노(爐)용ㆍ벽용 타일, 도자제의 모자이크 큐브와 이와 유사한 것(뒷면을 보강한 것인지에 상관없다), 피니싱 세라믹”이 분류되며 소호 6907.22호에 “ 수분흡수계수가 중량기준으로 100분의 0.5 초과 100분의 10 이하인 것”이 세분류 됨 - 같은 호 해설서에서 “이 호에는 포장(鋪裝)용이나 벽, 노(爐) 등에 일반적으로 사용하는 도자제의 판석과 타일[쿼리타일(quarry tile) 포함을 포함한다. 판석(flags)과 포장용 타일(paving tiles)ㆍ노(爐)용 타일(hearth tiles)과 벽용 타일(wall tiles)은 건축용의 벽돌보다 표면적에 비하여 두께가 얇다. 벽돌은 건축물의 중요한 골격을 형성하여 건설공사상 중요한 역할을 하고 있으나 판석과 타일은 성형한 벽 등의 표면 위에 시멘트ㆍ접착제나 그 밖의 방법으로 부착하도록 특별하게 만든 것이다.“라고 설명하고 있고- 특히 수분흡수율에 대해 “다공성 계수나 수분흡수계수(기호 E)는 건조상태의 샘플 제품(타일)을 물로 포화시킨 후에 나타나는 물의 질량 백분율로 정의된다. 수분흡수율의 수준은 ISO 표준 10545-3에 정해져 있는 진공법(vacuum method)에 기초하여 결정한다＂라고 설명하고 있음 - 따라서 본 물품은 성형 및 소성 과정을 거친 유약 처리한 사각형의 도자제 타일로 수분흡수계수가 100분의 3 초과 100분의 10 이하인 것에 해당하므로, 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제6907.22-9000호에 분류함"
0072025003943,품목분류사례,품목분류3과-4354,2025-09-03,7228309000,"공구강 평강 (Tool Steel Flat Bar); 255mm(폭) X 130mm(두께) X 3,500mm;","- 횡단면이 직사각형인 열간압연한 합금강(SDT11) 재질의 평강(Flat Bar) - 규격 : 폭 255mm, 두께 130mm, 길이 3,500mm, 911kg - 성분 - 제조공정 : 용해/정련 → 주조 → 단조 → 열간압연 → 열처리 → 후처리 - 용도 : 절삭/성형 공구, 블레이드, 다이스, 몰드, 금형강 등의 소재로 사용","- 관세율표 제72류 주 제1호 바목에는 “‘그 밖의 합금강’이란 스테인리스강의 정의에 해당하지 않고, 다음에 열거한 원소의 하나 이상의 함유량이 중량비로 다음 비율 이상인 강을 말한다.”라고 규정하고 있고, - 관세율표 제72류 주 제1호 타목에는 “‘그 밖의 봉’이란 자목ㆍ차목ㆍ카목ㆍ하목의 정의에 해당하지 않는 제품으로서 그 횡단면이 전체를 통하여 균일하고 중공(中空)이 없고, 원형ㆍ궁형ㆍ타원형ㆍ직사각형(정사각형을 포함한다)ㆍ삼각형이나 그 밖의 볼록다각형인 것[대칭하는 두 변이 볼록아크형이며, 다른 두 변은 길이가 동일하고 평행한 직선을 가진 단면의 “플랫서클(flattened circle)”과 “변형된 직사각형”인 것을 포함한다]을 말한다. 이 경우 그 물품들에는 압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 봉을 보강하는 모양인 것도 있고, 압연 후 꼬임가공된 것도 있다.”라고 규정함 - 본 물품은 탄소 1.4～1.6%, 크로뮴 11～13%, 몰리브데늄 0.8～1.2% 등을 함유한 그 밖의 합금강으로, 두께가 130mm, 폭이 255mm이므로 그 밖의 봉에 해당함 - 관세율표 제7228호 에는 “그 밖의 합금강의 그 밖의 봉, 그 밖의 합금강의 형강(形鋼), 합금강이나 비합금강의 중공(中空)드릴봉”이 분류되고, 소호 제7228.30호 에는 “열간(熱間)압연보다 더 가공하지 않은 것”이 세분류되며, · 같은 호 해설서에서 “ 제7214호 와 제7216호 의 해설 규정을 이 호의 제품에 준용한다.”라고 설명함 - 한편, 제7214호 의 해설서에는 “이 호의 봉은 보통 블룸(bloom)ㆍ빌릿(billet)ㆍ퍼들바(puddled bar)나 파일링(piling)을 열간(熱間)압연(hot-rolling)이나 단조(鍛造 : forging)하여 만든다. 이들은 또한 열간인발(熱間引拔 : hot-drawing)이나 열간(熱間)압출(hot-extrusion)로 제조하는 때도 있다..”라고 설명함 - 본 물품은 횡단면이 직사각형인 열간압연한 합금강 재질의 평강(flat bar) 형상의 물품으로 그 밖의 합금강의 그 밖의 봉에 해당하므로, 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제7228.30-9000호에 분류함"
0072025005214,품목분류사례,품목분류3과-6192,2025-12-01,7326909000,Clamp Small; SXE10193400;,"- 프로펠러샤프트에 장착되는 부트를 조인트와 샤프트 상에 단단히 밀착시키고 고정하기 위해 장착되는 원형의 스테인리스강 재질의 클램프임 - 물품 기능 ①부트 고정:부트를 유니버셜 조인트와 샤프트에 밀착시켜 고정함 ②체결력 강화:조인트와 프로펠러 샤프트 사이에 장착되어 체결력 강화 - 제원 : 27.9Φ, 높이 약 10mm, 재질(스테인레스강 SUS304) - 결합 방법 샤프트와 조인트를 부트가 감싸면서 클램프로 부트를 고정 - 제조공정 소재입고 → 절단 → 프레스(피어싱) → 프레스(밴딩) → 사상 → 조립","- 관세율표 제7326호 의 용어는 “철강으로 만든 그 밖의 제품”이 분류됨 - 같은 호 HS해설서에서 “이 호에는 단조(鍛造)·펀칭(punching), 절단(cutting)·스탬핑(stamping)·접음·조립·용접·선삭(旋削)·밀링(milling)·구멍 뚫는 것(천공)과 같은 그 밖의 공정에 의하여 얻는 모든 철강제품을 포함하며, 이 호의 앞 호에 포함하는 물품이나 제15부의 주 제1호에 포함되는 물품이나 제82류나 제83류에 포함되는 물품이나 이 표의 다른 호에 열거하는 물품은 제외한다”라고 설명하고 있으며 “단단한 관(管)이나 탭 등에 플렉시블 튜빙(flexible tubing)이나 호스를 부착하기 위하여 사용하는 결속용 밴드나 칼라(hose clip); 관(管)을 고정시키기 위하여 사용하는 행거·지주·그 밖의 유사한 지지구 등을 포함한다”라고 설명하고 있음 - 또한, 같은 표 제7307호 해설서에 “이 호에는 철강으로 만든 연결구류(fittings)를 분류하며, 두 개의 관(管)을 구멍을 함께 연결하기 위하거나, 하나의 관(管 : tube)을 다른 장치에 연결하기 위하여나 관(管 : tube)의 틈을 메우기 위해 주로 사용한다. 그러나 관(管 : tube·pipe)을 설치하기 위해 사용하는 물품으로 관(管) 구멍의 필수부분을 형성하지 않는 것은 이 호에서 제외한다[예: 단지 관(管)을 벽에 고정하거나 지지하기 위한 행거·지주와 이와 유사한 지지물, 경질(硬質)의 관(管)·탭·연결용 피스(connecting piece) 등에 플렉시블 튜빙(flexible tubing)이나 호스(hose)를 고정시키는데 사용하는 고정용이나 조임용 밴드나 칼라(hose clip)]( 제7325호 나 제7326호 )”라고 규정하고 있음 - 따라서, 본 물품은 자동차의 조인트와 부트(Boot)를 견고히 고정하는데 사용되는 철강제 물품이므로 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제7326.90-9000호로 분류함"
0072023001949,품목분류사례,품목분류3과-2826,2023-06-12,8528712020,Xiaomi TV Stick 4K-KR; MDZ-27-AA,"ㅇ 물품 개요 - 샤오미 TV 스틱, 블루투스 보이스 리모콘, 어댑터 등이 소매포장되어 제시 - Xiaomi TV Stick을 TV, 모니터, 프로젝터의 HDMI 포트에 꽂아 TV 프로그램, 게임 및 넷플릭스 등의 OTT 서비스 이용 가능한 물품 * 내부에 튜너를 포함하지 않음 ㅇ 구성요소별 주요 기능 - TV 스틱 : HDMI 포트, USB 포트, SoC*(CPU, OS, Memory), Wi-Fi & Bluetooth Module 탑재 1) Android TV OS를 탑재하여 TV 프로그램, 게임, 뉴스, 라디오 등의 콘텐츠 접속 가능 2) 내장된 Chromecast를 통해 휴대폰, 태블릿 또는 노트북의 비디오 및 기타 콘텐츠를 화면에 직접 캐스트 가능 3) 구글 플레이스토어 및 YOUTUBE가 내장되어 앱 다운로드 후 넷플릭스 등의 OTT 서비스 사용 가능 - 블루투스 보이스 리모컨 : 마이크 버튼을 눌러 프로그램, 노래, 날씨 검색 - 어댑터, HDMI 연장케이블, 사용설명서 ㅇ 규격 : 길이 60.8mm/가로29.4mm/두께15.4mm/무게42.8g (신청 물품) (설치 사진) (설치후 화면) ㅇ 블럭다이어그램 ㅇ 신호 입력 및 출력 Wifi 신호 입력 → Wifi Module에서 SOC가 인식할 수 있는 신호 변환하여 전송 → SOC는 수신한 신호를 오디오 및 비디오 신호로 변환 → HDMI 포트 출력 → TV 모니터 ㅇ 물품의 사양 - 해상도 : 4K, 3840×2160 - OS : Android TVTM 11(Chromecast built-in) - CPU : Quad core CotexA35+ - Ram + Rom : 2G + 8G - Connectivity : Bluetooth 5.0, Wi-Fi 2.4GHz/5GHz, HDMI×1, Micro USB","- 본건 물품은 소매포장되어 제시된 물품으로 관세율표 해석에 관한 통칙 제3호 나목에 따라 본질적인 특성을 부여하는 구성요소는 ‘샤오미 TV 스틱’으로 판단됨 - 관세율표 제16부 주 제3호에서는 “두 가지 이상의 기계가 함께 결합되어 하나의 완전한 기계를 구성하는 복합기계와 그 밖의 두 가지 이상의 보조기능이나 선택기능을 수행할 수 있도록 디자인된 기계는 문맥상 달리 해석되지 않는 한 이들 요소로 구성된 단일의 기계로 분류하거나 주된 기능을 수행하는 기계로 분류한다.”고 규정함 - 또한 관세율표 제84류 주 제6호 “마. 자동자료처리기계와 결합되거나 연결되어 자료처리 외의 특정한 기능을 수행하는 기계는 각각의 고유한 기능에 따라 해당 호로 분류하며, 그 기능에 따라 분류되는 호가 없는 경우에는 잔여 호로 분류한다.”라고 규정함 - 본 물품은 1) 자동자료처리기계로서의 구성요소와 2) WiFi를 통한 음성·영상이나 그 밖의 자료의 송·수신 기능 3) IPTV 수신 기능이 있는 물품으로 TV신호 수신이라는 특정한 기능에 주된 기능이 있는 것으로 봄 - 관세율표 제8528호 에는 “텔레비전 수신기기를 갖추지 않은 모니터와 프로젝터, 텔레비전 수신용 기기(라디오 방송용 수신기기ㆍ음성이나 영상의 기록용 기기나 재생용 기기를 결합한 것인지에 상관없다)”를 규정함 - 같은 호 해설서에서는 “(D) 텔레비전 수신용 기기(reception apparatus for television)_이 그룹에는 영상 디스플레이나 스크린을 장착하도록 설계되었는지에 상관없이 다음과 같은 기기를 포함한다. (1) 영상표시장치[음극선관(CRT)ㆍ액정디스플레이(LCD) 등]를 포함하지 않은 텔레비전 방송(지상파ㆍ케이블ㆍ위성) 수신기기. 이들 기기는 신호를 수신하여 디스플레이에 적당한 신호로 변환하는 기기이다. 이들은 인터넷에 연결하도록 모뎀(modem)을 갖춘 것도 있다.”라고 해설함 - 또한 제71차 WCO HS 위원회에서 유사한 물품(Android Box X96 Mini)에 대하여 텔레비전에 연결되도록 설계된 점, 자료처리 이외에 특정 기능을 수행하도록 설계된 점을 이유로 본 물품의 주 기능은 디지털 신호를 수신하고 그 신호를 텔레비전 세트 디스플레이에 적합한 신호로 변환하는 것에 있다고 보아 제8528.71호 로 결정하였음 - 따라서 본 물품은 인터넷으로부터 수신한 디지털 신호를 디스플레이에 적합한 신호로 변환하는 기능을 수행하여 HDMI 포트를 통해 TV에 송신하는 물품으로서 인터넷으로 쌍방향 통신이 가능한 텔레비전 수신용 기기로 보아 관세율표 해석에 관한 통칙 제1호, 제3호(나) 및 제6호에 따라 HSK 8528.71-2020호에 분류함"
0072023004209,품목분류사례,품목분류3과-6012,2023-12-05,8609005000,ENERCUBE TITIAN 1700,"ㅇ 물품개요 - 의약품의 항공·해상·육상 등 복합운송을 위한 콜드체인* 전용 컨테이너로, 중간 재포장 없이 Door to Door 운송되고, 반복 사용이 가능하도록 견고한 구조를 갖춘 직육면체 형상의 물품(내용 연수는 약 10년) * 제품 생산지에서 소비자까지 저온 유지를 통해 품질 변화 없이 배송할 수 있는 저온 유통시스템 ㅇ 구조 상세 설명 - 직육면체 형태로 앞쪽에 여닫이 Door가 있고(운송시 Seal 체결), 내부 온도를 측정·기록하는 logger가 부착되어 있음 - 물품 상하단에 취급 용이 및 안전을 위해 포크 슬롯*을 갖춘 받침대, 스태킹 핀·홀**, 고박장치*** 등의 결착구를 갖추고 있음 * 지게차로 상하차 작업 시 지게차 포크가 들어오는 곳 ** 컨테이너 상단 모서리 4곳에는 핀이, 하단 모서리 4곳에는 홀이 있어 컨테이너를 쌓아 올렸을 때 컨테이너끼리 서로 결속 및 고정됨 *** 스트랩을 이용해 쌓아 올린 컨테이너를 결속해 운송수단에 직접 고정됨 - 내부에 냉장조절팩을 부착하여 운송 중 내부 온도를 2℃∼8℃로 유지 * 컨테이너 1대당 48개의 냉장 조절팩이 부착되며, 최대 120시간 동안 온도가 유지됨에 따라 중국·일본 등 근거리 국가로는 해상 운송이, 유럽·미국 등 장거리 국가로는 항공 운송이, 유럽 국가 간에는 육상 운송이 적합함 - 운송수단에 결착되는 방법 · (항공) 항공 파렛트 위에 적재·고정됨(파렛트가 기체에 결착됨) · (해상) 고박장치에 스트랩를 이용해 선체에 직접 결착됨 · (육상*) 고박장치에 스트랩를 이용해 트럭에 직접 결착됨 * 해외 임가공업체 간(터키-헝가리) 원료의약품 및 원재료 운송시 사용","- 관세율표 제8609호 에는 “컨테이너(액체 운반용 컨테이너를 포함하며, 하나 이상의 운송수단으로 운반할 수 있도록 특별히 설계되고 구조를 갖춘 것으로 한정한다)”가 분류되고, - 같은 호 해설서에서 “이러한 컨테이너[리프트밴(lift van)을 포함한다]는 하나나 그 이상의 수송방식(예: 도로ㆍ철도ㆍ해상ㆍ항공에 의한 수송)에 의한 운반용으로 특별히 설계되고 구조를 갖춘 용기(packing receptacle)이다.” - “이러한 것은 차량ㆍ항공기ㆍ선박에 의한 수송을 할 때에 ①취급상의 용이와 안전을 위하여 장착구[훅(hook)ㆍ링ㆍ카스터(castor)ㆍ받침대 등]를 갖추고 있다. ②이리하여 중간에서 재포장하지 않고 화물을 “문 앞에서 문 앞까지로(door-to-door)”로 운송하는데 적합하고, ③또한 튼튼한 구조로 되어 있어 반복 사용할 수 있도록 되어 있다. … 컨테이너는 그 용적이 보통 4㎥에서 145㎥까지의 여러 가지가 있다. 이 보다 작은 특정형의 것도 있으나 ④보통 그 용적은 1㎥ 이상이다.”고 설명하고 있음 - 본건 물품은 포크 슬롯을 갖춘 받침대가 있어 지게차 등 하역장비를 이용한 취급이 용이하고, 스태킹 핀과 홀을 통해 컨테이너 간 상하 적재가 가능하며, 고박장치와 스트랩을 이용해 선박과 차량에 직접 고정함으로써 안전성을 확보하고 있음 - 또한, 중간에서 재포장하지 않고 door-to-door 운송에 적합하며, 튼튼한 구조로 반복사용(내용연수 10년)이 가능할 뿐만 아니라 용적은 1.7㎥임 - 따라서, 제8609호 에서 제시하고 있는 요건을 모두 충족하고 있으므로, 하나 이상의 운송수단으로 운반할 수 있도록 특별히 설계되고 구조를 갖춘 것에 해당됨 - 따라서, 본건 물품은 냉장용 컨테이너에 해당하므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제8609.00-5000호로 분류함"
